"","Project","Date","Outflow (kcfs)","Spill (kcfs)","Spill Percent (%)","Inflow (kcfs)","Temp (Scroll Case) (C)","Temperature (C)","Barometric Pressure (mmHg)","Dissolved Gas (mmHg)","Dissolved Gas Percent (%)","Turbidity (ft)","Elevation (ft)"
"1","BON",2000-01-01,166.31,0,0,178.6,5.93,5.93,758.96,760.33,100.18,NA,74.05
"2","BON",2000-01-02,192.66,0,0,182.6,5.86,5.86,763.44,759.59,99.47,NA,74.51
"3","BON",2000-01-03,205.81,0,0,218.9,5.78,5.78,767.92,760.38,98.87,6.4,73.96
"4","BON",2000-01-04,202.08,0,0,183.9,5.9,5.9,766.14,765.2,99.85,6.4,74.16
"5","BON",2000-01-05,190.89,0,0,191.2,5.75,5.75,774.37,769.94,99.42,6,73.35
"6","BON",2000-01-06,211.65,0,0,219.1,5.61,5.61,770.21,768.67,99.8,6,73.39
"7","BON",2000-01-07,187.85,0,0,194,5.51,5.51,768.63,765.33,99.57,NA,74.58
"8","BON",2000-01-08,199.78,0,0,189.1,5.48,5.48,764.46,764.25,99.97,6,74.05
"9","BON",2000-01-09,214.93,0,0,223,5.48,5.48,760.58,763.33,100.36,6,74.66
"10","BON",2000-01-10,227.82,0,0,229.4,5.35,5.35,756,760.71,100.62,5,74.75
"11","BON",2000-01-11,219.61,0,0,220.6,5.2,5.2,753.71,757.5,100.5,5,74.85
"12","BON",2000-01-12,213.32,0,0,198.6,5.07,5.07,760.83,756,99.37,5,74.18
"13","BON",2000-01-13,207.19,0,0,211,4.96,4.96,760.38,756.29,99.46,5,74.27
"14","BON",2000-01-14,202.78,0,0,213.7,4.97,4.97,760.88,756.63,99.44,5,74.16
"15","BON",2000-01-15,214.33,0,0,218.7,4.97,4.97,762.54,757.83,99.39,NA,74.1
"16","BON",2000-01-16,210.33,0,0,196.4,4.85,4.85,751.36,755,100.48,NA,74.35
"17","BON",2000-01-17,194.43,0,0,193.9,NA,NA,NA,NA,NA,NA,73.43
"18","BON",2000-01-18,199.49,0,0,206.8,4.82,4.82,765.76,758.41,99.04,NA,73.58
"19","BON",2000-01-19,205.73,0,0,198.6,4.74,4.74,766.88,757.48,98.77,7,74.08
"20","BON",2000-01-20,200.73,0,0,204.4,4.64,4.64,762.74,755.04,99.01,7,74.13
"21","BON",2000-01-21,194.5,0,0,197.2,4.58,4.58,762.58,754.25,98.91,7,74.04
"22","BON",2000-01-22,199.87,0,0,203.1,4.53,4.53,765.54,756.83,98.86,7,74.76
"23","BON",2000-01-23,177.93,0,0,164,4.41,4.41,764.17,759.54,99.4,6.5,74.05
"24","BON",2000-01-24,193.5,0,0,203.3,4.35,4.35,762.71,759.04,99.52,7,74.53
"25","BON",2000-01-25,205.47,0,0,206,4.34,4.34,763.17,758.17,99.35,7,74.53
"26","BON",2000-01-26,202.55,0,0,191.8,4.35,4.35,769.67,759.42,98.67,7,73.93
"27","BON",2000-01-27,215.53,0,0,219.7,4.32,4.32,773.5,761.25,98.42,7,74.07
"28","BON",2000-01-28,227.4,0,0,228.1,4.08,4.08,770.08,760.97,98.82,7,73.67
"29","BON",2000-01-29,232.68,0,0,235.1,3.8,3.8,767.75,760.5,99.06,7,73.62
"30","BON",2000-01-30,214.27,0,0,220.1,3.44,3.44,761.17,757.5,99.52,5.2,74
"31","BON",2000-01-31,209.49,0,0,189.1,3.44,3.44,763.88,755.75,98.94,5.2,73.52
"32","BON",2000-02-01,199.79,0,0,224.2,3.52,3.52,763.42,756.38,99.08,7,73.65
"33","BON",2000-02-02,222.21,0,0,221.8,3.7,3.7,770.04,762.71,99.05,6,74.9
"34","BON",2000-02-03,232.18,0,0,227,3.8,3.8,766.13,765.96,99.98,NA,74.37
"35","BON",2000-02-04,235.94,0,0,225.5,3.84,3.84,763.42,766.42,100.39,6.5,74.44
"36","BON",2000-02-05,191.62,0,0,207,3.82,3.82,763.46,769.54,100.8,6.5,73.73
"37","BON",2000-02-06,189.66,0,0,182.2,3.82,3.82,770.04,771.38,100.17,5.5,75.01
"38","BON",2000-02-07,190.78,0,0,195.8,3.94,3.94,768.17,773.67,100.72,NA,74.46
"39","BON",2000-02-08,201.35,0,0,194.6,4.01,4.01,763.29,773.33,101.32,7,73.91
"40","BON",2000-02-09,181.11,0,0,187.2,4.1,4.1,763.27,775.92,101.68,7,73.81
"41","BON",2000-02-10,192.04,0,0,187.1,4.09,4.09,759.63,777.71,102.38,7,74.7
"42","BON",2000-02-11,192.81,0,0,189.7,4.16,4.16,757.33,781.83,103.25,5,73.89
"43","BON",2000-02-12,231.72,0,0,240.1,4.27,4.27,754.04,782.79,103.81,7,74.83
"44","BON",2000-02-13,226.51,0,0,210.2,4.35,4.35,752.79,781.96,103.88,7,73.74
"45","BON",2000-02-14,194.72,0,0,198.9,4.29,4.29,749.92,778.75,103.85,NA,73.95
"46","BON",2000-02-15,195.55,0,0,205.7,4.31,4.31,765.71,790.63,103.26,NA,73.59
"47","BON",2000-02-16,221.85,0,0,208.2,4.35,4.35,765.04,799.58,104.52,6,73.55
"48","BON",2000-02-17,220.88,0,0,233,4.53,4.53,766.21,790.79,103.21,6,73.57
"49","BON",2000-02-18,216.13,0,0,214.6,4.62,4.62,769.39,785.08,102.05,6.6,75.19
"50","BON",2000-02-19,205.79,0,0,182.8,4.63,4.63,766.25,798.58,104.22,6.5,73.67
"51","BON",2000-02-20,151.06,0,0,160.1,4.51,4.51,757.88,776.88,102.51,5.5,73.14
"52","BON",2000-02-21,151.81,0,0,149.8,4.47,4.47,755.67,786.96,104.14,6,72.95
"53","BON",2000-02-22,156.97,0,0,171.6,4.53,4.53,754.83,786.75,104.23,5.8,73.48
"54","BON",2000-02-23,161.21,0,0,162,4.67,4.67,759.67,792.67,104.35,5.5,74.64
"55","BON",2000-02-24,187.82,0,0,197.3,4.81,4.81,761.63,779,102.28,4,74.93
"56","BON",2000-02-25,205.68,0,0,201.1,4.71,4.71,762.92,774.42,101.51,4,74
"57","BON",2000-02-26,196.86,0,0,198.5,4.6,4.6,757.67,771.04,101.77,3.6,74.8
"58","BON",2000-02-27,193.61,0,0,180.4,4.57,4.57,755.17,772.46,102.29,4,74.44
"59","BON",2000-02-28,176.84,0,0,180.7,4.74,4.74,759.33,778.17,102.48,4.4,74.13
"60","BON",2000-02-29,196.95,0,0,211.9,4.86,4.86,760.67,778.96,102.41,4.4,73.98
"61","BON",2000-03-01,198.9,0,0,196.3,4.94,4.94,765.83,779.46,101.78,4.2,75.16
"62","BON",2000-03-02,200.24,0,0,191.2,4.97,4.97,766.5,780.33,101.81,5,74.11
"63","BON",2000-03-03,200.44,0,0,208,5.06,5.06,765.29,781.25,102.09,5,73.88
"64","BON",2000-03-04,178.22,0,0,183.2,5.17,5.17,757.5,781.25,103.14,5,74.96
"65","BON",2000-03-05,164.08,0,0,158.4,5.24,5.24,756.25,776.96,102.74,5.5,75.19
"66","BON",2000-03-06,193.39,0,0,189.3,5.27,5.27,757.13,773.83,102.21,6,74.33
"67","BON",2000-03-07,210.79,0,0,214.7,5.32,5.32,758.42,773.38,101.97,5,74.8
"68","BON",2000-03-08,214.59,0,0,223.5,5.42,5.42,759.88,777.25,102.29,4.8,75.29
"69","BON",2000-03-09,206.93,12.37,5.98,199.6,5.55,5.55,763.46,778.58,101.98,5,75.18
"70","BON",2000-03-10,211.15,103.61,49.07,201.3,5.78,5.78,766.38,779.58,101.72,5.5,74.51
"71","BON",2000-03-11,210.04,113.31,53.95,222,5.89,5.89,771.67,779.54,101.02,5.7,73.81
"72","BON",2000-03-12,211.44,119.5,56.52,198.5,5.96,5.96,768.92,780.92,101.56,5.5,74.39
"73","BON",2000-03-13,210.58,117.69,55.89,212.1,6.02,6.02,764.08,781.46,102.28,5.5,73.83
"74","BON",2000-03-14,199.79,105.31,52.71,198.8,6.2,6.2,766.83,780.13,101.73,5.1,73.31
"75","BON",2000-03-15,198.77,106.8,53.73,206.9,6.28,6.28,765.63,779.58,101.82,3,74.25
"76","BON",2000-03-16,205.05,98.5,48.04,213,6.41,6.41,763.92,780,102.11,4.3,73.99
"77","BON",2000-03-17,213.86,0,0,214.2,6.28,6.28,770.67,778.08,100.96,4.3,75.01
"78","BON",2000-03-18,194.04,0,0,188.7,6.35,6.35,765.63,780.38,101.93,4,75.42
"79","BON",2000-03-19,174.88,0,0,172.9,6.42,6.42,765.17,778.33,101.72,4,74.5
"80","BON",2000-03-20,182.2,0,0,181.4,6.47,6.47,770.21,780.17,101.29,5,75.2
"81","BON",2000-03-21,173.61,0,0,172.9,6.69,6.69,768.08,783.88,102.06,4.5,74.53
"82","BON",2000-03-22,182.23,0,0,185.3,6.91,6.91,761.38,783.25,102.87,4.8,74.37
"83","BON",2000-03-23,187.04,0,0,189.4,7.01,7.01,767.5,782.13,101.91,4,74.66
"84","BON",2000-03-24,214.56,0,0,211.2,7.13,7.13,762.75,781.04,102.4,4.8,74.83
"85","BON",2000-03-25,183.61,0,0,184.3,7.14,7.14,764.96,779.58,101.91,4.8,75.23
"86","BON",2000-03-26,166.07,0,0,147.1,7.2,7.2,765.58,781.13,102.03,5,74.4
"87","BON",2000-03-27,172.32,0,0,175.5,7.33,7.33,761.75,783.04,102.8,5.4,73.21
"88","BON",2000-03-28,174.1,0,0,177.1,7.3,7.3,763.46,778.71,102,4.1,73.57
"89","BON",2000-03-29,198.42,0,0,214.8,7.4,7.4,768.63,779.83,101.46,5,74.42
"90","BON",2000-03-30,208.53,0,0,201.4,7.62,7.62,772.83,777.96,100.66,4.5,75
"91","BON",2000-03-31,209.01,0,0,210.1,7.83,7.83,773.75,778.5,100.61,6,74.77
"92","BON",2000-04-01,182.29,0,0,185,8.08,8.08,769.64,782.41,101.66,6,74.96
"93","BON",2000-04-02,176.25,0,0,180.9,8.39,8.39,767.65,783.39,102.05,4.8,75.27
"94","BON",2000-04-03,195.33,0,0,193.8,8.61,8.61,762.75,786.42,103.1,5,74.85
"95","BON",2000-04-04,189.92,0,0,191.4,8.84,8.84,764.63,787.5,102.99,4.3,74.9
"96","BON",2000-04-05,216.7,0,0,220.6,8.7,8.7,765.43,780.42,101.95,4.6,75.57
"97","BON",2000-04-06,243.18,17.08,7.02,244.4,8.76,8.76,765.13,777.29,101.59,4,75.83
"98","BON",2000-04-07,280.09,52.2,18.64,250.2,8.8,8.8,769.96,776.88,100.9,4.3,73.54
"99","BON",2000-04-08,272.74,48.52,17.79,279.7,9.02,9.02,764.17,780.42,102.13,4.5,73.25
"100","BON",2000-04-09,196.54,0,0,195.1,9.28,9.28,765.96,797.88,104.17,4,73.94
"101","BON",2000-04-10,214.13,16.28,7.6,219.7,9.52,9.52,765.63,781.96,102.13,4.5,74.17
"102","BON",2000-04-11,263.74,60.88,23.08,267.5,9.85,9.85,763.21,782.38,102.51,4,74.05
"103","BON",2000-04-12,254.57,25.68,10.09,267.5,10.09,10.09,762.17,787.67,103.35,4.4,74.23
"104","BON",2000-04-13,274.23,43.17,15.74,265.3,10.35,10.35,758.46,794.63,104.77,3.5,75.3
"105","BON",2000-04-14,314.28,73.51,23.39,314,10.21,10.21,756.92,797.17,105.32,4,74.63
"106","BON",2000-04-15,313.87,69.67,22.2,316.2,10.09,10.09,758.38,815.13,107.48,3.5,74.99
"107","BON",2000-04-16,263.9,64.39,24.4,267,10.29,10.29,758.21,822.67,108.5,3.5,74.74
